volume,section_id,section_title,stanza_no,categories,strong_terms,weak_terms,text,source_url,label,science_concept,notes
6,T316,002. அருட்பெருஞ்ஜோதி அகவல்,281,space_elements,space_elements:பரவெளி,light_generic:ஜோதி,சுத்தநல் வெளியைத் துரிசறு பரவெளி / அத்திடை வகுத்த வருட்பெருஞ் ஜோதி,https://www.thiruarutpa.org/thirumurai/v/T316/tm/arutperunjjoothi_akaval,,,
6,T316,002. அருட்பெருஞ்ஜோதி அகவல்,282,space_elements,space_elements:பரவெளி,light_generic:ஜோதி,பரவெளி யதனைப் பரம்பர வெளியில் / அரசுற வகுத்த வருட்பெருஞ் ஜோதி,https://www.thiruarutpa.org/thirumurai/v/T316/tm/arutperunjjoothi_akaval,,,
6,T316,002. அருட்பெருஞ்ஜோதி அகவல்,409,space_elements,space_elements:பரவெளி,light_generic:ஜோதி,பச்சைத் திரையாற் பரவெளி யதனை / அச்சுற மறைக்கு மருட்பெருஞ் ஜோதி,https://www.thiruarutpa.org/thirumurai/v/T316/tm/arutperunjjoothi_akaval,,,
6,T316,002. அருட்பெருஞ்ஜோதி அகவல்,751,space_elements,space_elements:நடுவெளி,light_generic:விளக்க,இடுவெளி யனைத்து மியலொளி விளங்கிட / நடுவெளி நடுவே நாட்டிய விளக்கே,https://www.thiruarutpa.org/thirumurai/v/T316/tm/arutperunjjoothi_akaval,,,
6,T237,004. பதி விளக்கம்,2,space_elements,"space_elements:பரவெளி,பூதவெளி,வெளிகளெல",,வண்ணமிகு பூதவெளி பகுதிவெளி முதலா / வகுக்குமடி வெளிகளெலாம் வயங்குவெளி யாகி / எண்ணமுறு மாமவுன வெளியாகி அதன்மேல் / இசைத்தபர வெளியாகி இயல்உபய வெளியாய் / அண்ணுறுசிற் பரவெளியாய்த் தற்பரமாம் வெளியாய் / அமர்ந்தபெரு வெளியாகி அருளின்ப வெளியாய்த் / திண்ணமுறும் தனிஇயற்கை உண்மைவெளி யான / திருச்சிற்றம் பலந்தனிலே தெய்வமொன்றே கண்டீர்.,https://www.thiruarutpa.org/thirumurai/v/T237/tm/pathi_vilakkam,,,
6,T242,010. அடியார் பேறு,20,space_elements,space_elements:பரவெளி,,கூடுங் கருணைத் திருக்குறிப்பை இற்றைப் பொழுதே குறிப்பித்து / வாடுஞ் சிறியேன் வாட்டம்எலாந் தீர்த்து வாழ்வித் திடல்வேண்டும் / பாடும் புகழோய் நினைஅல்லால் துணைவே றில்லைப் பரவெளியில் / ஆடுஞ் செல்வத் திருவடிமேல் ஆணை முக்கால் ஆணையதே.,https://www.thiruarutpa.org/thirumurai/v/T242/tm/atiyaar_peeru,,,
6,T292,037. அருள்விளக்க மாலை,36,space_elements,space_elements:பரவெளி,"light_generic:ஒளி,சுடர்",விளங்குபர சத்திகளின் பரமாதி அவற்றுள் / விரிந்தநிலை யாதிஎலாம் விளங்கிஒளி வழங்கிக் / களங்கமிலாப் பரவெளியில் அந்தம்முதல் நடுத்தான் / காட்டாதே நிறைந்தெங்கும் கலந்திடும்பே ரொளியே / உளங்குலவு பரசத்தி உலகமண்ட முழுதும் / ஒளிவிளங்கச் சுடர்பரப்பி ஓங்குதனிச் சுடரே / வளங்குலவு திருப்பொதுவில் மாநடஞ்செய் அரசே / மகிழ்ந்தெனது சொல்எனும்ஓர் மாலைஅணிந் தருளே.,https://www.thiruarutpa.org/thirumurai/v/T292/tm/arulvilakka_maalai,,,
6,T292,037. அருள்விளக்க மாலை,68,space_elements,"space_elements:பரவெளி,நடுவெளி,பாழ்வெளி,ஏழ்வெளி",,பரவெளியே நடுவெளியே உபசாந்த வெளியே / பாழ்வெளியே முதலாக ஏழ்வெளிக்கப் பாலும் / விரவியமா மறைகளெலாம் தனித்தனிசென் றளந்தும் / மெய்யளவு காணாதே மெலிந்திளைத்துப் போற்ற / உரவில்அவை தேடியஅவ் வெளிகளுக்குள் வெளியாய் / ஓங்கியஅவ் வெளிகளைத்தன் னுள்அடக்கும் வெளியாய்க் / கரையறநின் றோங்குகின்ற சுத்தசிவ வெளியே / கனிந்தநடத் தரசேஎன் கருத்தும்அணிந் தருளே.,https://www.thiruarutpa.org/thirumurai/v/T292/tm/arulvilakka_maalai,,,
6,T372,080. திருவடிப் பெருமை,36,space_elements,space_elements:நடுவெளி,,விரிந்திடும்ஐங் கருவினிலே விடயசத்தி அனந்த / விதமுகங்கொண் டிலகஅவை விகிதவிகற் பாகிப் / பிரிந்திடுமான் இலக்கணங்கள் பலகோடி பிரியாப் / பெருஞ்சத்தி இலக்கணங்கள் பற்பலகோ டிகளாய்த் / தெரிந்திடுநா னிலக்குள்ளே இருந்துவெளிப் படவும் / செய்கைபல புரிகின்ற திறல்உடைத்தா ரகமேல் / எரிந்திடுதீ நடுவெளிக்கண் இருந்ததிரு வடியின் / எல்லையையார் சொல்லவல்லார் இயம்பாய்என் தோழி.,https://www.thiruarutpa.org/thirumurai/v/T372/tm/thiruvatip_perumai,,,
6,T257,097. நடராஜபதி மாலை,31,space_elements,space_elements:துரியவெளி,light_generic:சோதி,காய்எலாம் கனிஎனக் கனிவிக்கும் ஒருபெருங் / கருணைஅமு தேஎனக்குக் / கண்கண்ட தெய்வமே கலிகண்ட அற்புதக் / காட்சியே கனகமலையே / தாய்எலாம் அனையஎன் தந்தையே ஒருதனித் / தலைவனே நின்பெருமையைச் / சாற்றிட நினைத்திட மதித்திட அறிந்திடச் / சார்கின்ற தோறும்அந்தோ / வாய்எலாந் தித்திக்கும் மனம்எலாந் தித்திக்கும் / மதிஎலாந் தித்திக்கும்என் / மன்னியமெய் அறிவெலாந் தித்திக்கும் என்னில்அதில் / வரும்இன்பம் என்புகலுவேன் / தூய்எலாம் பெற்றநிலை மேல்அருட் சுகம்எலாம் / தோன்றிட விளங்குசுடரே / துரியவெளி நடுநின்ற பெரியபொரு ளேஅருட் / சோதிநட ராஜகுருவே.,https://www.thiruarutpa.org/thirumurai/v/T257/tm/n-ataraajapathi_maalai,,,
6,T257,097. நடராஜபதி மாலை,32,space_elements,space_elements:துரியவெளி,light_generic:சோதி,எய்ப்பற எனக்குக் கிடைத்தபெரு நிதியமே / எல்லாஞ்செய் வல்லசித்தாய் / என்கையில் அகப்பட்ட ஞானமணி யேஎன்னை / எழுமையும் விடாதநட்பே / கைப்பறஎன் உள்ளே இனிக்கின்ற சர்க்கரைக் / கட்டியே கருணைஅமுதே / கற்பக வனத்தே கனிந்தகனி யேஎனது / கண்காண வந்தகதியே / மெய்ப்பயன் அளிக்கின்ற தந்தையே தாயேஎன் / வினைஎலாந் தீர்த்தபதியே / மெய்யான தெய்வமே மெய்யான சிவபோக / விளைவேஎன் மெய்ம்மைஉறவே / துய்ப்புறும்என் அன்பான துணையேஎன் இன்பமே / சுத்தசன் மார்க்கநிலையே / துரியவெளி நடுநின்ற பெரியபொரு ளேஅருட் / சோதிநட ராஜகுருவே.,https://www.thiruarutpa.org/thirumurai/v/T257/tm/n-ataraajapathi_maalai,,,
6,T257,097. நடராஜபதி மாலை,33,space_elements,space_elements:துரியவெளி,light_generic:சோதி,துன்புறு மனத்தனாய் எண்ணாத எண்ணிநான் / சோர்ந்தொரு புறம்படுத்துத் / தூங்குதரு ணத்தென்றன் அருகிலுற் றன்பினால் / தூயதிரு வாய்மலர்ந்தே / இன்புறு முகத்திலே புன்னகை ததும்பவே / இருகைமலர் கொண்டுதூக்கி / என்றனை எடுத்தணைத் தாங்குமற் றோரிடத் / தியலுற இருத்திமகிழ்வாய் / வன்பறு பெருங்கருணை அமுதளித் திடர்நீக்கி / வைத்தநின் தயவைஅந்தோ / வள்ளலே உள்ளுதொறும் உள்ளக மெலாம்இன்ப / வாரிஅமு தூறிஊறித் / துன்பம்அற மேற்கொண்டு பொங்கித் ததும்பும்இச் / சுகவண்ணம் என்புகலுவேன் / துரியவெளி நடுநின்ற பெரியபொரு ளேஅருட் / சோதிநட ராஜகுருவே.,https://www.thiruarutpa.org/thirumurai/v/T257/tm/n-ataraajapathi_maalai,,,
6,T257,097. நடராஜபதி மாலை,34,space_elements,space_elements:துரியவெளி,light_generic:சோதி,ஓங்கிய பெருங்கருணை பொழிகின்ற வானமே / ஒருமைநிலை உறுஞானமே / உபயபத சததளமும் எனதிதய சததளத் / தோங்கநடு வோங்குசிவமே / பாங்கியல் அளித்தென்னை அறியாத ஒருசிறிய / பருவத்தில் ஆண்டபதியே / பாசநெறி செல்லாத நேசர்தமை ஈசராம் / படிவைக்க வல்லபரமே / ஆங்கியல்வ தென்றுமற் றீங்கியல்வ தென்றும்வா / யாடுவோர்க் கரியசுகமே / ஆனந்த மயமாகி அதுவுங் கடந்தவெளி / யாகிநிறை கின்றநிறைவே / தூங்கிவிழு சிறியனைத் தாங்கிஎழு கென்றெனது / தூக்கந் தொலைத்ததுணையே / துரியவெளி நடுநின்ற பெரியபொரு ளேஅருட் / சோதிநட ராஜகுருவே.,https://www.thiruarutpa.org/thirumurai/v/T257/tm/n-ataraajapathi_maalai,,,
6,T258,098. சற்குருமணி மாலை,19,space_elements,space_elements:நடுவெளி,,நன்மார்க்கத் தவர்உளம் நண்ணிய வரமே / நடுவெளி நடுநின்று நடஞ்செயும் பரமே / துன்மார்க்க வாதிகள் பெறற்கரு நிலையே / சுத்தசி வானந்தப் புத்தமு துவப்பே / என்மார்க்கம் எனக்களித் தெனையுமேல் ஏற்றி / இறவாத பெருநலம் ஈந்தமெய்ப் பொருளே / சன்மார்க்க சங்கத்தார் தழுவிய பதியே / தனிநட ராஜஎன் சற்குரு மணியே.,https://www.thiruarutpa.org/thirumurai/v/T258/tm/sarkurumani_maalai,,,
6,T315,119. ஜோதியுள் ஜோதி,12,space_elements,space_elements:நடுவெளி,light_generic:ஜோதி,நவவெளி நால்வகை யாதி - ஒரு / நடுவெளிக் குள்ளே நடத்திய நீதிச் / சிவவெளி யாம்இது பாரீர் - திருச் / சிற்றம் பலத்தே திருநட ஜோதி. ஜோதி,https://www.thiruarutpa.org/thirumurai/v/T315/tm/joothiyul_joothi,,,
