rank,sim,volume,section_id,section_title,stanza_no,text,source_url,label,notes
11,0.959,6,T250,028. அபயத் திறன்,2,வட்டவான் சுடரே வளரொளி விளக்கே / வயங்குசிற் சோதியே அடியேன் / இட்டமே இட்டத் தியைந்துளே கலந்த / இன்பமே என்பெரும் பொருளே / கட்டமே தவிர்த்திங் கென்னைவாழ் வித்த / கடவுளே கனகமன் றகத்தே / நட்டமே புரியும் பேரரு ளரசே / நம்பினேன் கைவிடேல் எனையே.,https://www.thiruarutpa.org/thirumurai/v/T250/tm/apayath_thiran,,
12,0.959,6,T277,047. பேரானந்தப் பெருநிலை,8,அருள்வளர் திருச்சிற் றம்பலத் தோங்கும் / அரும்பெருஞ் சோதியே எனது / பொருள்வளர் அறிவுக் கறிவுதந் தென்னைப் / புறம்விடா தாண்டமெய்ப் பொருளே / மருவும்ஓர் நாத வெளிக்குமேல் வெளியில் / மகிழ்ந்தர சாள்கின்ற வாழ்வே / பருவரல் நீக்கி இனித்திட எனக்கே / பழுத்தபே ரானந்தப் பழமே.,https://www.thiruarutpa.org/thirumurai/v/T277/tm/peeraananthap_perun-ilai,,
13,0.959,6,T272,094. அழிவுறா அருள்வடிவப் பேறு,10,கையின் நெல்லிபோல் விளங்குசிற் றம்பலங் கலந்தருள் பெருவாழ்வே / மெய்யி லேவிளைந் தோங்கிய போகமே மெய்ப்பெரும் பொருளேநான் / ஐய மற்றுரைத் திட்டவிண் ணப்பம்ஏற் றளித்தனை இஞ்ஞான்றே / செய்யும் இவ்வுடல் என்றுமிங் கழிவுறாச் சிவவடி வாமாறே.,https://www.thiruarutpa.org/thirumurai/v/T272/tm/azivuraa_arulvativap_peeru,,
14,0.959,1,T150,008. இங்கித மாலை,59,ஒண்கை மழுவோ டனலுடையீ ரொற்றி நகர்வா ழுத்தமர்நீர் / வண்கை யொருமை நாதரென்றேன் வண்கைப் பன்மை நாதரென்றா / ரெண்கணடங்கா வதிசயங்கா ணென்றேன் பொருளன் றிவையதற்கென் / றெண்சொன் மணிதந் தருள்கின்றா ரிதுதான் சேடி யென்னேடீ.,https://www.thiruarutpa.org/thirumurai/v/T150/tm/ingkitha_maalai,,
15,0.959,6,T292,037. அருள்விளக்க மாலை,8,கதிக்குவழி காட்டுகின்ற கண்ணேஎன் கண்ணில் / கலந்தமணி யேமணியில் கலந்தகதிர் ஒளியே / விதிக்கும்உல குயிர்க்குயிராய் விளங்குகின்ற சிவமே / மெய்யுணர்ந்தோர் கையகத்தே விளங்கியதீங் கனியே / மதிக்குமதிக் கப்புறம்போய் வயங்குதனி நிலையே / மறைமுடிஆ கமமுடிமேல் வயங்கும்இன்ப நிறைவே / துதிக்கும்அன்பர் தொழப்பொதுவில் நடம்புரியும் அரசே / சொன்மாலை சூட்டுகின்றேன் தோளில்அணிந் தருளே.,https://www.thiruarutpa.org/thirumurai/v/T292/tm/arulvilakka_maalai,,
16,0.959,2,T105,053. பொருள் விண்ணப்பம்,3,ஊண்உ றக்கமே பொருள்என நினைத்த / ஒதிய னேன்மனம் ஒன்றிய தின்றாய்க் / காணு றக்கருங் காமஞ்சான் றதுகாண் / கடைய னேன்செயக் கடவதொன் றறியேன் / மாணு றக்களங் கறுத்தசெம் மணியே / வள்ள லேஎனை வாழ்விக்கும் மருந்தே / சேணு றத்தரும் ஒற்றிநா யகமே / செல்வ மேபர சிவபரம் பொருளே.,https://www.thiruarutpa.org/thirumurai/v/T105/tm/porul_vinnappam,,
17,0.959,1,T127,007. வடிவுடை மாணிக்க மாலை,82,கல்லா ரிடத்தில்என் இல்லாமை சொல்லிக் கலங்கிஇடர் / நல்லாண்மை உண்டருள் வல்லாண்மை உண்டெனின் நல்குவையோ / வல்லார் எவர்கட்கும் வல்லார் திருவொற்றி வாணரொடு / மல்லார் பொழில்ஒற்றி வாழ்வே வடிவுடை மாணிக்கமே.,https://www.thiruarutpa.org/thirumurai/v/T127/tm/vativutai_maanikka_maalai,,
18,0.958,2,T197,094. தனித் திருவிருத்தம்,30,வெள்ளங்கொண் டோங்கும் விரிசடை யாய்மிகு மேட்டினின்றும் / பள்ளங்கொண் டோங்கும் புனல்போல்நின் தண்ணருட் பண்புநல்லோர் / உள்ளங்கொண் டோங்கும் அவமே பருத்த ஒதிஅனையேன் / கள்ளங்கொண் டோங்கும் மனத்துறு மோஉறிற் காண்குவனே.,https://www.thiruarutpa.org/thirumurai/v/T197/tm/thanith_thiruviruththam,,
19,0.958,6,T261,059. வேண்டுகோள்,3,விடையவா தனைதீர் விடையவா சுத்த வித்தைமுன் சிவவரை கடந்த / நடையவா ஞான நடையவா இன்ப நடம்புரிந் துயிர்க்கெலாம் உதவும் / கொடையவா ஓவாக் கொடையவா எனையாட் கொண்டெனுள் அமர்ந்தரு ளியஎன் / உடையவா எல்லாம் உடையவா உணர்ந்தோர்க் குரியவா பெரியவாழ் வருளே.,https://www.thiruarutpa.org/thirumurai/v/T261/tm/veentukool,,
20,0.958,1,T160,005. மகாதேவ மாலை,15,உருவாகி உருவினில்உள் உருவ மாகி / உருவத்தில் உருவாகி உருவுள் ஒன்றாய் / அருவாகி அருவினில்உள் அருவ மாகி / அருவத்தில் அருவாகி அருவுள் ஒன்றாய்க் / குருவாகிச் சத்துவசிற் குணத்த தாகிக் / குணரகிதப் பொருளாகிக் குலவா நின்ற / மருவாகி மலராகி வல்லி யாகி / மகத்துவமாய் அணுத்துவமாய் வயங்குந் தேவே.,https://www.thiruarutpa.org/thirumurai/v/T160/tm/makaatheeva_maalai,,
21,0.958,2,T113,010. பழமொழிமேல் வைத்துப் பரிவுகூர்தல்,7,முதல்இ லாமல்ஊ தியம்பெற விழையும் / மூடன் என்னநின் மொய்கழல் பதமேத் / துதல்இ லாதுநின் அருள்பெற விழைந்தேன் / துட்ட னேன்அருட் சுகம்பெறு வேனோ / நுதலில் ஆர்அழல் கண்ணுடை யவனே / நோக்கும் அன்பர்கள் தேக்கும்இன் அமுதே / சிதல்இ லாவளம் ஓங்கிஎந் நாளும் / திகழும் ஒற்றியூர்த் தியாகநா யகனே.,https://www.thiruarutpa.org/thirumurai/v/T113/tm/pazamozimeel_vaiththup_parivukuurthal,,
22,0.958,6,T277,047. பேரானந்தப் பெருநிலை,3,துதிவளர் திருச்சிற் றம்பலத் தாடும் / சோதியுட் சோதியே எனது / மதிவளர் மருந்தே மந்திர மணியே / மன்னிய பெருங்குண மலையே / கதிதரு துரியத் தனிவெளி நடுவே / கலந்தர சாள்கின்ற களிப்பே / பதியுறும் உளத்தே இனித்திட எனக்கே / பழுத்தபே ரானந்தப் பழமே.,https://www.thiruarutpa.org/thirumurai/v/T277/tm/peeraananthap_perun-ilai,,
23,0.958,1,T127,007. வடிவுடை மாணிக்க மாலை,36,மாநந்த மார்வயல் காழிக் கவுணியர் மாமணிக்கன் / றாநந்த இன்னமு தூற்றும் திருமுலை ஆரணங்கே / காநந்த வோங்கும் எழிலொற்றி யார்உட் களித்தியலும் / வாநந் தருமிடை மானே வடிவுடை மாணிக்கமே.,https://www.thiruarutpa.org/thirumurai/v/T127/tm/vativutai_maanikka_maalai,,
24,0.958,5,T21,023. ஏழைமையின் இரங்கல்,4,உய்வண்ணம் இன்றி உலகா தரத்தில் உழல்கின்ற மாய மடவார் / பொய்வண்ணம் ஒன்றின் மனமாழ்கி அன்மை புரிதந்து நின்ற புலையேன் / மெய்வண்ணம் ஒன்று தணிகா சலத்து மிளிர்கின்ற தேவ விறல்வேல் / கைவண்ண உன்றன் அருள்வண்ணம் ஆன கழல்வண்ணம் நண்ணல் உளதோ.,https://www.thiruarutpa.org/thirumurai/v/T21/tm/eezaimaiyin_irangkal,,
25,0.958,6,T360,110. தனித் திருஅலங்கல்,84,ஒன்றுமுன் எண்பால் எண்ணிடக் கிடைத்த / வுவைக்குமேற் றனைஅருள் ஒளியால் / நன்றுகண் டாங்கே அருட்பெருஞ் சோதி / நாதனைக் கண்டவன் நடிக்கும் / மன்றுகண் டதனில் சித்தெலாம் வல்ல / மருந்துகண் டுற்றது வடிவாய் / நின்றுகொண் டாடுந் தருணம்இங் கிதுவே / நெஞ்சமே அஞ்சலை நீயே.,https://www.thiruarutpa.org/thirumurai/v/T360/tm/thanith_thirualangkal,,
26,0.958,1,T161,006. திருவருண் முறையீடு,219,அருள்அர சேஅருட் குன்றேமன் றாடும் அருளிறையே / அருள்அமு தேஅருட் பேறே நிறைந்த அருட்கடலே / அருள்அணி யேஅருட் கண்ணேவிண் ணோங்கும் அருள்ஒளியே / அருள்அற மேஅருட் பண்பேமுக் கண்கொள் அருட்சிவமே.,https://www.thiruarutpa.org/thirumurai/v/T161/tm/thiruvarun_muraiyiitu,,
27,0.958,6,T272,094. அழிவுறா அருள்வடிவப் பேறு,5,இலங்கு கின்றசிற் றம்பலத் தருள்நடம் இடுகின்ற பெருவாழ்வே / துலங்கு பேரருட் சோதியே சோதியுள் துலங்கிய பொருளேஎன் / புலங்கொள் விண்ணப்பம் திருச்செவிக் கேற்றருள் புரிந்தனை இஞ்ஞான்றே / அலங்கும் இவ்வுடல் எற்றையும் அழிவுறா அருள்வடி வாமாறே.,https://www.thiruarutpa.org/thirumurai/v/T272/tm/azivuraa_arulvativap_peeru,,
28,0.958,5,T23,025. காணாப் பத்து,2,வல்லி ஒருபால் வானவர்தம் மகளாண் டொருபால் வரமயில்மேல் / எல்லின் இலங்கு நெட்டிலைவேல் ஏந்தி வரும்என் இறையவனே / சொல்லி அடங்காத் துயர்இயற்றும் துகள்சேர் சன்னப் பெருவேரைக் / கல்லி எறிந்து நின்உருவைக் கண்கள் ஆரக் கண்டிலனே.,https://www.thiruarutpa.org/thirumurai/v/T23/tm/kaanaap_paththu,,
29,0.958,6,T315,119. ஜோதியுள் ஜோதி,22,எள்ளலில் வான்முதல் மண்ணும் - அமு / தெல்லாம் இதிலோர் இறையள வென்னும் / தெள்ளமு தாம்இது பாரீர் -திருச் / சிற்றம் பலத்தே திருநட ஜோதி. ஜோதி,https://www.thiruarutpa.org/thirumurai/v/T315/tm/joothiyul_joothi,,
30,0.958,6,T366,101. உய்வகை கூறல்,12,அருள்வி ளங்கிய திருச்சிற்றம் பலத்திலே அழியாப் / பொருள்வி ளங்குதல் காண்மினோ காண்மினோ புவியீர் / மருள்உ ளங்கொளும் வாதனை தவிர்ந்தருள் வலத்தால் / தெருள்வி ளங்குவீர் ஞானசன் மார்க்கமே தெளிமின்.,https://www.thiruarutpa.org/thirumurai/v/T366/tm/uyvakai_kuural,,
31,0.957,2,T201,093. திருப்புகழ்ச்சி,3,அருள்பழுத் தோங்கும் கற்பகத் தருவே / அருண்மருந் தொளிர்குணக் குன்றே / அருள்எனும் அமுதந் தரும்ஒரு கடலே / அருட்கிர ணங்கொளும் சுடரே / அருள்ஒளி வீசும் அரும்பெறன் மணியே / அருட்சுவை கனிந்தசெம் பாகே / அருள்மணம் வீசும் ஒருதனி மலரே / அருண்மய மாம்பர சிவமே.,https://www.thiruarutpa.org/thirumurai/v/T201/tm/thiruppukazssi,,
32,0.957,6,T277,047. பேரானந்தப் பெருநிலை,9,வான்வளர் திருச்சிற் றம்பலத் தோங்கும் / மாபெருங் கருணைஎம் பதியே / ஊன்வளர் உயிர்கட் குயிரதாய் எல்லா / உலகமும் நிறைந்தபே ரொளியே / மான்முதன் மூர்த்தி மானிலைக் கப்பால் / வயங்கும்ஓர் வெளிநடு மணியே / பான்மையுற் றுளத்தே இனித்திட எனக்கே / பழுத்தபே ரானந்தப் பழமே.,https://www.thiruarutpa.org/thirumurai/v/T277/tm/peeraananthap_perun-ilai,,
33,0.957,2,T122,081. தரிசனப் பதிகம்,1,திருவார் பொன்னம் பலநடுவே தெள்ளார் அமுதத் திரள்அனைய / உருவார் அறிவா னந்தநடம் உடையார் அடியார்க் குவகைநிலை / தருவார் அவர்தம் திருமுகத்தே ததும்பும் இளவெண் ணகைகண்டேன் / இருவா தனைஅற் றந்தோநான் இன்னும் ஒருகால் காண்பேனோ.,https://www.thiruarutpa.org/thirumurai/v/T122/tm/tharisanap_pathikam,,
34,0.957,1,T127,007. வடிவுடை மாணிக்க மாலை,2,கடலமு தேசெங் கரும்பே அருட்கற்ப கக்கனியே / உடல்உயி ரேஉயிர்க் குள்உணர் வேஉணர் வுள்ஒளியே / அடல்விடை யார்ஒற்றி யார்இடங் கொண்ட அருமருந்தே / மடலவிழ் ஞான மலரே வடிவுடை மாணிக்கமே.,https://www.thiruarutpa.org/thirumurai/v/T127/tm/vativutai_maanikka_maalai,,
35,0.957,1,T156,001. திருவடிப் புகழ்ச்சி,24,வஞ்சமறு நெஞ்சினிடை யெஞ்சலற விஞ்சுதிறன் மஞ்சுற விளங்கும்பதம் / வந்தனைசெய் புந்தியவர் தந்துயர் தவிர்ந்திடவுண் மந்தணந விற்றும்பதம் / மாறிலொரு மாறனுள மீறின்மகிழ் வீறியிட மாறிநட மாடும்பதம் / மறக்கருணை யுந்தனி யறக்கருணை யுந்தந்துவழ்விக்குமொண்மைப்பதம்,https://www.thiruarutpa.org/thirumurai/v/T156/tm/thiruvatip_pukazssi,,
36,0.957,5,T12,014. பொறுக்காப் பத்து,5,வல்இருள் பவம்தீர் மருந்தெனும் நினது / மலர்அடி மனம்உற வழுத்தாப் / புல்லர்தம் இடம்இப் பொய்யனேன் புகுதல் / பொறுக்கிலன் பொறுக்கிலன் கண்டாய் / ஒல்லையின் எனைமீட் டுன்அடி யவர்பால் / உற்றுவாழ்ந் திடச்செயின் உய்வேன் / சல்லமற் றவர்கட் கருள்தரும் பொருளே / தணிகைவாழ் சரவண பவனே.,https://www.thiruarutpa.org/thirumurai/v/T12/tm/porukkaap_paththu,,
37,0.957,4,T225,002. அருட்பிரகாச மாலை,92,தஞ்சமுறும் உயிர்க்குணர்வாய் இன்பமுமாய் நிறைந்த / தம்பெருமை தாமறியாத் தன்மைவாய் ஒருநாள் / வஞ்சகனேன் புன்றலையில் வைத்திடவுஞ் சிவந்து / வருந்தியசே வடிபின்னும் வருந்தநடத் தருளி / எஞ்சிலா இரவினிடை யானிருக்கும் இடஞ்சேர்ந் / தெழிற்கதவந் திறப்பித்தங் கெனைஅழைத்தொன் றளித்தாய் / விஞ்சுபரா னந்தநடம் வியன்பொதுவிற் புரியும் / மேலவநின் அருட்பெருமை விளம்பலெவன் வியந்தே.,https://www.thiruarutpa.org/thirumurai/v/T225/tm/arutpirakaasa_maalai,,
38,0.957,4,T225,002. அருட்பிரகாச மாலை,56,அருள்விளங்கும் உள்ளகத்தே அதுஅதுவாய் விளங்கும் / அணிமலர்ச்சே வடிவருத்தம் அடையநடந் தருளிப் / பொருள்விளங்கா நடுஇரவில் நானுறையும் இடத்தே / போந்துதெருக் காப்பவிழ்க்கப் புரிந்தெனைஅங் கழைத்துத் / தெருள்விளங்கும் ஒருபொருள்என் செங்கைதனில் அளித்தாய் / சிவபெருமான் பெருங்கருணைத் திறத்தினைஎன் என்பேன் / மருள்விளங்கி உணர்ச்சியுறத் திருமணிமன் றிடத்தே / மன்னுயிர்க் கின்பருள வயங்குநடத் தரசே.,https://www.thiruarutpa.org/thirumurai/v/T225/tm/arutpirakaasa_maalai,,
39,0.957,5,T43,045. திருவருட் பேற்று விழைவு,8,இன்பப் பெருக்கே அருட்கடலே இறையே அழியா இரும்பொருளே / அன்பர்க் கருளும் பெருங்கருணை அரசே உணர்வால் ஆம்பயனே / வன்பர்க் கரிதாம் பரஞ்சோதி வடிவேல் மணியே அணியேஎன் / துன்பத் திடரைப் பொடியாக்கிச் சுகந்தந் தருளத் துணியாயே.,https://www.thiruarutpa.org/thirumurai/v/T43/tm/thiruvarut_peerru_vizaivu,,
40,0.957,2,T204,099. சிவ சிதம்பர சங்கீர்த்தனம்,4,அருள்அ ளித்துமெய் யன்பர் தம்மைஉள் / ளங்கை நெல்லிபோல் ஆக்கு கின்றதும் / பொருள்அ ளித்துநான் மறையின் அந்தமே / புகலு கின்றதோர் புகழ்அ ளிப்பதும் / வெருள்அ ளித்திடா விமல ஞானவான் / வெளியி லேவெளி விரவி நிற்பதாம் / தெருள்அ ளிப்பதும் இருள்கெ டுப்பதும் / சிவசி தம்பரம் சிவசி தம்பரம்.,https://www.thiruarutpa.org/thirumurai/v/T204/tm/siva_sithampara_sangkiirththanam,,
41,0.957,5,T177,001. சித்தி விநாயகர் பதிகம்,9,மருள்உறு மனமும் கொடியவெங் குணமும் மதித்தறி யாததுன் மதியும் / இருள்உறு நிலையும் நீங்கிநின் அடியை எந்தநாள் அடைகுவன் எளியேன் / அருள்உறும் ஒளியாய் அவ்வொளிக் குள்ளே அமர்ந்தசிற் பரஒளி நிறைவே / வெருள்உறு சமயத் தறியொணாச் சித்தி விநாயக விக்கினேச் சுரனே.,https://www.thiruarutpa.org/thirumurai/v/T177/tm/siththi_vin-aayakar_pathikam,,
42,0.957,6,T292,037. அருள்விளக்க மாலை,29,வாதுறும்இந் தியகரண பரங்கள்முதல் நான்கும் / வகுத்திடுநந் நான்கும்அகம் புறமேல்கீழ் நடுப்பால் / ஓதுறும்மற் றெல்லாந்தன் மயமாகக் கலந்தே / ஓங்கவற்றின் அப்புறமும் ஒளிர்கின்ற ஒளியே / சூதுறுமிந் தியகரண லோகாண்டம் அனைத்தும் / சுடர்பரப்பி விளங்குகின்ற சுயஞ்சோதிச் சுடரே / போதுறுவார் பலர்நின்று போற்றநடம் பொதுவில் / புரியும்நடத் தரசேஎன் புகலும்அணிந் தருளே.,https://www.thiruarutpa.org/thirumurai/v/T292/tm/arulvilakka_maalai,,
43,0.957,6,T277,047. பேரானந்தப் பெருநிலை,5,உரைவளர் திருச்சிற் றம்பலத் தோங்கும் / ஒள்ளிய தெள்ளிய ஒளியே / வரைவளர் மருந்தே மவுனமந் திரமே / மந்திரத் தாற்பெற்ற மணியே / நிரைதரு சுத்த நிலைக்குமேல் நிலையில் / நிறைந்தர சாள்கின்ற நிதியே / பரையுறும் உளத்தே இனித்திட எனக்கே / பழுத்தபே ரானந்தப் பழமே.,https://www.thiruarutpa.org/thirumurai/v/T277/tm/peeraananthap_perun-ilai,,
44,0.957,1,T127,007. வடிவுடை மாணிக்க மாலை,5,பொருளே அடியர் புகலிட மேஒற்றிப் பூரணன்தண் / அருளேஎம் ஆருயிர்க் காந்துணை யேவிண் ணவர்புகழும் / தெருளேமெய்ஞ் ஞானத் தெளிவே மறைமுடிச் செம்பொருளே / மருளேத நீக்கும் ஒளியே வடிவுடை மாணிக்கமே.,https://www.thiruarutpa.org/thirumurai/v/T127/tm/vativutai_maanikka_maalai,,
45,0.957,2,T80,042. நாள் அவத்து அலைசல்,4,கருங்கணம் சூழக் கசியும்இவ் வுடலம் கருதும்இக் கணமிருந் ததுதான் / வருங்கணம் ஏதாய் முடியுமோ ஐயோ வஞ்சனேன் என்செய வல்லேன் / பெருங்கணம் சூழ வடவனத் தாடும் பித்தனே உத்தம தவத்தோர் / மருங்கண வுறநின் றரகர எனுஞ்சொல் வான்புகும் ஒற்றியூர் வாழ்வே.,https://www.thiruarutpa.org/thirumurai/v/T80/tm/n-aal_avaththu_alaisal,,
46,0.957,6,T292,037. அருள்விளக்க மாலை,68,பரவெளியே நடுவெளியே உபசாந்த வெளியே / பாழ்வெளியே முதலாக ஏழ்வெளிக்கப் பாலும் / விரவியமா மறைகளெலாம் தனித்தனிசென் றளந்தும் / மெய்யளவு காணாதே மெலிந்திளைத்துப் போற்ற / உரவில்அவை தேடியஅவ் வெளிகளுக்குள் வெளியாய் / ஓங்கியஅவ் வெளிகளைத்தன் னுள்அடக்கும் வெளியாய்க் / கரையறநின் றோங்குகின்ற சுத்தசிவ வெளியே / கனிந்தநடத் தரசேஎன் கருத்தும்அணிந் தருளே.,https://www.thiruarutpa.org/thirumurai/v/T292/tm/arulvilakka_maalai,,
47,0.957,2,T99,050. ஆற்றா விண்ணப்பம்,8,கடம்பொழி ஓங்கல் உரிஉடை உடுக்கும் கடவுளே கடவுளர் கோவே / மடம்பொழி மனத்தேன் மலஞ்செறிந் தூறும் வாயில்ஓர் ஒன்பதில் வரும்இவ் / உடம்பொழிந் திடுமேல் மீண்டுமீண் டெந்தஉடம்புகொண் டுழல்வனோஎன்று / நடம்பொழி பதத்தாய் நடுங்குகின் றனன்காண் நான்செயும் வகைஎது நவிலே.,https://www.thiruarutpa.org/thirumurai/v/T99/tm/aarraa_vinnappam,,
48,0.957,6,T277,047. பேரானந்தப் பெருநிலை,4,சீர்வளர் திருச்சிற் றம்பலத் தோங்குஞ் / செல்வமே என்பெருஞ் சிறப்பே / நீர்வளர் நெருப்பே நெருப்பினுள் ஒளியே / நிறைஒளி வழங்கும்ஓர் வெளியே / ஏர்தரு கலாந்த மாதிஆ றந்தத் / திருந்தர சளிக்கின்ற பதியே / பாருறும் உளத்தே இனித்திட எனக்கே / பழுத்தபே ரானந்தப் பழமே.,https://www.thiruarutpa.org/thirumurai/v/T277/tm/peeraananthap_perun-ilai,,
