number,chapter,categories,strong_terms,weak_terms_in_verse,commentary_only_terms,n_categories,tamil,translation,explanation,commentary_mv,commentary_mk,label,science_concept,notes
16,2,rain_water,"rain_water:rain,clouds?",,sky_stars:விண் ; rain_water:மழை ; direction_earth:மண்,1,விசும்பின் துளிவீழின் அல்லால்மற் றாங்கே / பசும்புல் தலைகாண்பு அரிது.,"No grassy blade its head will rear, If from the cloud no drop appear","If no drop falls from the clouds, not even the green blade of grass will be seen","வானத்திலிருந்து மழைத்துளி வீழ்ந்தால் அல்லாமல், உலகத்தில் ஓரறிவுயிராகிய பசும்புல்லின் தலையையும் காண முடியாது",விண்ணிலிருந்து மழைத்துளி விழுந்தாலன்றி மண்ணில் பசும்புல் தலை காண்பது அரிதான ஒன்றாகும்,,,
17,2,rain_water,"rain_water:rain,clouds?,ocean,sea",,"rain_water:மழை,மேகம்,கடல்",1,நெடுங்கடலும் தன்நீர்மை குன்றும் தடிந்தெழிலி / தான்நல்கா தாகி விடின்.,"The ocean's wealth will waste away, Except the cloud its stores repay","Even the wealth of the wide sea will be diminished, if the cloud that has drawn (its waters) up gives them not back again (in rain)","மேகம் கடலிலிருந்து நீரைக் கொண்டு அதனிடத்திலேயே பெய்யாமல் விடுமானால், பெரிய கடலும் தன் வளம் குன்றிப் போகும்",ஆவியான கடல்நீர் மேகமாகி அந்தக் கடலில் மழையாகப் பெய்தால்தான் கடல்கூட வற்றாமல் இருக்கும் மனித சமுதாயத்திலிருந்து புகழுடன் உயர்ந்தவர்களும் அந்தச் சமுதாயத்திற்கே பயன்பட்டால்தான் அந்தச் சமுதாயம் வாழும்,,,
18,2,sky_stars|time_season|direction_earth,"sky_stars:வானம்*,sky,heaven ; time_season:year ; direction_earth:earth",,"rain_water:மழை ; time_season:ஆண்டு,நாள்",3,சிறப்பொடு பூசனை செல்லாது வானம் / வறக்குமேல் வானோர்க்கும் ஈண்டு.,"The earth, beneath a barren sky, Would offerings for the gods deny","If the heaven dry up, neither yearly festivals, nor daily worship will be offered in this world, to the celestials",மழை பெய்யாமல் போகுமானால் இவ்வுலகத்தில் வானோர்க்காக நடைபெறும் திருவிழாவும் நடைபெறாது; நாள் வழிபாடும் நடைபெறாது,"வானமே பொய்த்து விடும்போது, அதன்பின்னர் அந்த வானத்தில் வாழ்வதாகச் சொல்லப்படுகிறவர்களுக்கு விழாக்கள் ஏது? வழிபாடுதான் ஏது?",,,
19,2,sky_stars|rain_water|direction_earth,"sky_stars:வானம்*,heaven ; rain_water:rain ; direction_earth:earth",,rain_water:மழை,3,தானம் தவம்இரண்டும் தங்கா வியன்உலகம் / வானம் வழங்கா தெனின்.,Were heaven above to fail below Nor alms nor penance earth would show,"If rain fall not, penance and alms-deeds will not dwell within this spacious world","மழை பெய்யவில்லையானால், இந்த பெரிய உலகத்தில் பிறர் பொருட்டு செய்யும் தானமும், தம் பொருட்டு செய்யும் தவமும் இல்லையாகும்.","இப்பேருலகில் மழை பொய்த்து விடுமானால் அது, பிறர் பொருட்டுச் செய்யும் தானத்திற்கும், தன்பொருட்டு மேற்கொள்ளும் நோன்புக்கும் தடங்கலாகும்",,,
20,2,rain_water,"rain_water:rain,water",sky_stars:வான்* ; rain_water:நீர்*,rain_water:மழை,1,நீர்இன்று அமையாது உலகெனின் யார்யார்க்கும் / வான்இன்று அமையாது ஒழுக்கு.,Water is life that comes from rain Sans rain our duties go in vain,"If it be said that the duties of life cannot be discharged by any person without water, so without rain there cannot be the flowing of water","எப்படிப்பட்டவர்க்கும் நீர் இல்லாமல் உலக வாழ்க்கை நடைபெறாது என்றால், மழை இல்லையானால் ஒழுக்கமும் நிலைபெறாமல் போகும்","உலகில் மழையே இல்லையென்றால் ஒழுக்கமே கெடக்கூடும் என்ற நிலை இருப்பதால், நீரின் இன்றியமையாமையை உணர்ந்து செயல்பட வேண்டும்",,,
22,3,direction_earth,direction_earth:earth,,,1,துறந்தார் பெருமை துணைக்கூறின் வையத்து / இறந்தாரை எண்ணிக்கொண் டற்று.,To con ascetic glory here Is to count the dead upon the sphere,"To describe the measure of the greatness of those who have forsaken the two-fold desires, is like counting the dead","பற்றுக்களைத் துறந்தவர்களின் பெருமையை அளந்து கூறுதல், உலகத்தில் இதுவரை பிறந்து இறந்தவர்களை கணக்கிடுவதைப்போன்றது.",உலகில் இறந்தவர்களின் எண்ணிக்கை எவ்வளவு என்று கூற முடியுமா? அதுபோலத்தான் உண்மையாகவே பற்றுகளைத் துறந்த உத்தமர்களின் பெருமையையும் அளவிடவே முடியாது,,,
23,3,direction_earth,direction_earth:earth,direction_earth:உலகு*,light_fire:தீ,1,இருமை வகைதெரிந்து ஈண்டுஅறம் பூண்டார் / பெருமை பிறங்கிற்று உலகு.,No lustre can with theirs compare Who know the right and virtue wear,"The greatness of those who have discovered the properties of both states of being, and renounced the world, shines forth on earth (beyond all others)",பிறப்பு வீடு என்பன போல் இரண்டிரண்டாக உள்ளவைகளின் கூறுபாடுகளை ஆராய்ந்தறிந்து அறத்தை மேற்கொண்டவரின் பெருமையே உலகத்தில் உயர்ந்தது,"நன்மை எது, தீமை எது என்பதை ஆய்ந்தறிந்து நன்மைகளை மேற்கொள்பவர்களே உலகில் பெருமைக்குரியவர்களாவார்கள்",,,
24,3,sky_stars,sky_stars:heaven,,light_fire:ஒளி ; vibration_sound:ஓசை,1,உரனென்னும் தோட்டியான் ஓரைந்தும் காப்பான் / வரனென்னும் வைப்பிற்கோர் வித்து.,"With hook of firmness to restrain The senses five, is heaven to gain",He who guides his five senses by the hook of wisdom will be a seed in the world of heaven,"அறிவு என்னும் கருவியினால் ஐம்பொறிகளாகிய யானைகளை அடக்கி காக்க வல்லவன், மேலான வீட்டிற்கு விதை போன்றவன்","உறுதியென்ற அங்குசம் கொண்டு, ஐம்பொறிகளையும் அடக்கிக் காப்பவன், துறவறம் எனும் நிலத்திற்கு ஏற்ற விதையாவான்",,,
25,3,sky_stars,sky_stars:heaven,,sky_stars:வான் ; cosmos_origin:இறை,1,ஐந்தவித்தான் ஆற்றல் அகல்விசும்பு ளார்கோமான் / இந்திரனே சாலுங் கரி.,Indra himself has cause to say How great the power ascetics' sway,"Indra, the king of the inhabitants of the spacious heaven, is himself, a sufficient proof of the strength of him who has subdued his five senses","ஐந்து புலன்களாலாகும் ஆசைகளை ஒழித்தவனுடைய வல்லமைக்கு, வானுலகத்தாரின் தலைவனாகிய இந்திரனே போதுமான சான்று ஆவான்","புலன்களை அடக்க முடியாமல் வழிதவறிச் சென்றிடும் மனிதனுக்குச் சான்றாக இந்திரன் விளங்கி, ஐம்புலன்களால் ஏற்படும் ஆசைகளைக் கட்டுப்படுத்தியதால் வான்புகழ் கொண்டவர்களின் ஆற்றலை எடுத்துக் காட்டுகிறான்",,,
27,3,light_fire|vibration_sound,light_fire:light ; vibration_sound:sound,direction_earth:உலகு*,light_fire:ஒளி ; direction_earth:உலகம் ; vibration_sound:ஓசை,2,சுவைஒளி ஊறுஓசை நாற்றமென ஐந்தின் / வகைதெரிவான் கட்டே உலகு.,"They gain the world, who grasp and tell Of taste, sight, hearing, touch and smell","The world is within the knowledge of him who knows the properties of taste, sight, touch, hearing and smell","சுவை, ஒளி, ஊறு, ஓசை, நாற்றம் என்று சொல்லப்படும் ஐந்தின் வகைகளையும் ஆராய்ந்து அறிய வல்லவனுடைய அறிவில் உள்ளது உலகம்.",ஐம்புலன்களின் இயல்பை உணர்ந்து அவற்றை அடக்கியாளும் திறன் கொண்டவனையே உலகம் போற்றும்,,,
28,3,direction_earth,direction_earth:earth,,,1,நிறைமொழி மாந்தர் பெருமை நிலத்து / மறைமொழி காட்டி விடும்.,"Full-worded men by what they say, Their greatness to the world display","The hidden words of the men whose words are full of effect, will shew their greatness to the world","பயன் நிறைந்த மொழிகளில் வல்ல சான்றோரின் பெருமையை, உலகத்தில் அழியாமல் விளங்கும் அவர்களுடைய மறைமொழிகளே காட்டிவிடும்.","சான்றோர்களின் பெருமையை, இந்த உலகில் அழியாமல் நிலைத்து நிற்கும் அவர்களது அறவழி நூல்களே எடுத்துக் காட்டும்",,,
29,3,direction_earth,direction_earth:mountain,,direction_earth:மலை,1,குணமென்னும் குன்றேறி நின்றார் வெகுளி / கணமேயும் காத்தல் அரிது.,"Their wrath, who've climb'd the mount of good, Though transient, cannot be withstood","The anger of those who have ascended the mountain of goodness, though it continue but for a moment, cannot be resisted","நல்ல பண்புகளாகிய மலையின்மேல் ஏறி நின்ற பெரியோர், ஒரு கணப்பொழுதே சினம் கொள்வார் ஆயினும் அதிலிருந்து ஒருவரைக் காத்தல் அரிதாகும்.",குணக்குன்றுகளான பெரியவர்கள் கோபம் கொண்டால் அந்தக் கோபம் அவர்கள் உள்ளத்தில் ஒரு கணம் கூட நிலைத்து நிற்காது,,,
31,4,sky_stars,sky_stars:heaven,cosmos_origin:உயிர்*,,1,சிறப்புஈனும் செல்வமும் ஈனும் அறத்தினூஉங்கு / ஆக்கம் எவனோ உயிர்க்கு.,From virtue weal and wealth outflow; What greater good can mankind know?,Virtue will confer heaven and wealth; what greater source of happiness can man possess ?,அறம் சிறப்பையும் அளிக்கும்: செல்வத்தையும் அளிக்கும்: ஆகையால் உயிர்க்கு அத்தகைய அறத்தை விட நன்மையானது வேறு யாது?,"சிறப்பையும், செழிப்பையும் தரக்கூடிய அறவழி ஒன்றைத்தவிர ஆக்கமளிக்கக் கூடிய வழி வேறென்ன இருக்கிறது?",,,
34,4,vibration_sound,vibration_sound:sound,,,1,மனத்துக்கண் மாசிலன் ஆதல் அனைத்தறன் / ஆகுல நீர பிற.,In spotless mind virtue is found And not in show and swelling sound,Let him who does virtuous deeds be of spotless mind; to that extent is virtue; all else is vain show,ஒருவன் தன்மனதில் குற்றம் இல்லாதவானாக இருக்க வேண்டும். அறம் அவ்வளவே: மனத்தூய்மை இல்லாத மற்றவை ஆரவாரத் தன்மை உடையவை.,மனம் தூய்மையாக இருப்பதே அறம்; மற்றவை ஆரவாரத்தைத் தவிர வேறொன்றுமில்லை,,,
36,4,time_season,time_season:day,,time_season:நாள்,1,அன்றறிவாம் என்னாது அறஞ்செய்க மற்றது / பொன்றுங்கால் பொன்றாத் துணை.,Do good enow; defer it not A deathless aid in death if sought,Defer not virtue to another day; receive her now; and at the dying hour she will be your undying friend,"இளைஞராக உள்ளவர், பிற்காலத்தில் பார்த்து கொள்ளலாம் என்று எண்ணாமல் அறம் செய்ய வேண்டும். அதுவே உடல் அழியும் காலத்தில் அழியா துணையாகும்.",பிறகு பார்த்துக்கொள்ளலாம் என்று நாள் கடத்தாமல் அறவழியை மேற்கொண்டால் அது ஒருவர் இறந்தபின் கூட அழியாப் புகழாய் நிலைத்துத் துணை நிற்கும்,,,
38,4,time_season,time_season:day,,time_season:நாள்,1,வீழ்நாள் படாஅமை நன்றாற்றின் அஃதொருவன் / வாழ்நாள் வழியடைக்கும் கல்.,Like stones that block rebirth and pain Are doing good and good again,"If one allows no day to pass without some good being done, his conduct will be a stone to block up the passage to other births",ஒருவன் அறம் செய்ய தவறிய நாள் ஏற்படாதவாறு அறத்தை செய்வானானால் அதுவே அவன் உடலோடு வாழும் நாள் வரும் பிறவி வழியை அடைக்கும் கல்லாகும்.,"பயனற்றதாக ஒருநாள்கூடக் கழிந்து போகாமல், தொடர்ந்து நற்செயல்களில் ஈடுபடுபவருக்கு வாழ்க்கைப் பாதையைச் சீராக்கி அமைத்துத் தரும் கல்லாக அந்த நற்செயல்களே விளங்கும்",,,
39,4,light_fire,light_fire:light,,,1,அறத்தான் வருவதே இன்பம் மற்றெல்லாம் / புறத்த புகழும் இல.,Weal flows only from virtue done The rest is rue and renown gone,"Only that pleasure which flows from domestic virtue is pleasure; all else is not pleasure, and it is without praise",அறநெறியில் வாழ்வதன் பயனாக வருவதே இன்பமாகும். அறத்தோடு பொருந்தாமல் வருவன எல்லாம் இன்பம் இல்லாதவை: புகழும் இல்லாதவை.,தூய்மையான நெஞ்சுடன் நடத்தும் அறவழி வாழ்க்கையில் வருகின்ற புகழால் ஏற்படுவதே இன்பமாகும் அதற்கு மாறான வழியில் வருவது புகழும் ஆகாது; இன்பமும் ஆகாது,,,
50,5,sky_stars|direction_earth,sky_stars:heaven ; direction_earth:earth,sky_stars:வான்*,moon:மதி,2,வையத்துள் வாழ்வாங்கு வாழ்பவன் வான்உறையும் / தெய்வத்துள் வைக்கப் படும்.,He is a man of divine worth Who lives in ideal home on earth,"He who on earth has lived in the conjugal state as he should live, will be placed among the Gods who dwell in heaven","உலகத்தில் வாழவேண்டிய அறநெறியில் நின்று வாழ்கிறவன், வானுலகத்தில் உள்ள தெய்வ முறையில் வைத்து மதிக்கப்படுவான்.",தெய்வத்துக்கென எத்தனையோ அருங்குணங்கள் கூறப்படுகின்றன உலகில் வாழ வேண்டிய அறநெறியில் நின்று வாழ்கிறவன் வானில் வாழ்வதாகச் சொல்லப்படும் தெய்வத்துக்கு இணையாக வைத்து மதிக்கப்படுவான்,,,
55,6,rain_water,"rain_water:மழை*,rain",,,1,தெய்வம் தொழாஅள் கொழுநன் தொழுதெழுவாள் / பெய்யெனப் பெய்யும் மழை.,"Her spouse before God who adores, Is like rain that at request pours","If she, who does not worship God, but who rising worships her husband, say, ""let it rain,"" it will rain",வேறு தெய்வம் தொழாதவளாய்த் தன் கணவனையே தெய்வமாகக் கொண்டு தொழுது துயிலெழுகின்றவள் பெய் என்றால் மழை பெய்யும்.,கணவன் வாக்கினைக் கடவுள் வாக்கினை விட மேலானதாகக் கருதி அவனையே தொழுதிடும் மனைவி பெய் என ஆணையிட்டவுடன் அஞ்சி நடுங்கிப் பெய்கின்ற மழையைப் போலத் தன்னை அடிமையாக எண்ணிக் கொள்பவளாவாள்,,,
62,7,light_fire,light_fire:தீ*,,,1,எழுபிறப்பும் தீயவை தீண்டா பழிபிறங்காப் / பண்புடை மக்கட் பெறின்.,No evil comes and no blemish; Noble sons bring all we wish,"The evils of the seven births shall not touch those who abtain children of a good disposition, free from vice",பழி இல்லாத நல்ல பண்பு உடைய மக்களைப்பெற்றால் ஒருவனுக்கு ஏழு பிறவியிலும் தீவினைப் பயனாகிய துன்பங்கள் சென்று சேரா.,"பெற்றெடுக்கும் மக்கள் பழிபடராத பண்புடையவர்களாக இருப்பின், ஏழேழு தலைமுறை எனும் அளவுக்குக் காலமெல்லாம் எந்தத் தீமையும் தீண்டாது",,,
65,7,light_fire|vibration_sound,light_fire:தீ* ; vibration_sound:music,,,2,மக்கள்மெய் தீண்டல் உடற்கின்பம் மற்றுஅவர் / சொற்கேட்டல் இன்பம் செவிக்கு.,Children's touch delights the body Sweet to ears are their words lovely,"The touch of children gives pleasure to the body, and the hearing of their words, pleasure to the ear",மக்களின் உடம்பைத் தொடுதல் உடம்பிற்கு இன்பம் தருவதாகும்: அம் மக்களின் மழலைச் சொற்களைக் கேட்டால் செவிக்கு இன்பம் தருவதாகும்.,"தம் குழந்தைகளைத் தழுவி மகிழ்வது உடலுக்கு இன்பத்தையும், அந்தக் குழந்தைகளின் மழலை மொழி கேட்பது செவிக்கு இன்பத்தையும் வழங்கும்",,,
66,7,vibration_sound,vibration_sound:music,,vibration_sound:இசை,1,குழல்இனிது யாழ்இனிது என்பதம் மக்கள் / மழலைச்சொல் கேளா தவர்.,The flute and lute are sweet they say Deaf to baby's babble's lay!,"""The pipe is sweet, the lute is sweet,"" say those who have not heard the prattle of their own children",தம் மக்களின் மழலைச் சொல்லைக் கேட்டு அதன் இனிமையை நுகராதவரே குழலின் இசை இனியது யாழின் இசை இனியது என்று கூறுவர்.,"தங்கள் குழந்தைகளின் மழலைச் சொல்லைக் கேட்காதவர்கள்தான் குழலோசை, யாழோசை ஆகிய இரண்டும் இனிமையானவை என்று கூறுவார்கள்",,,
68,7,direction_earth,direction_earth:earth,,cosmos_origin:உயிர்,1,தம்மின்தம் மக்கள் அறிவுடைமை மாநிலத்து / மன்னுயிர்க் கெல்லாம் இனிது.,With joy the hearts of parents swell To see their children themselves excel,That their children should possess knowledge is more pleasing to all men of this great earth than to themselves,தம் மக்களின் அறிவுடைமை தமக்கு இன்பம் பயப்பதை விட உலகத்து உயிர்களுக்கேல்லாம் மிகுந்த இன்பம் பயப்பதாகும்.,"பெற்றோரைக் காட்டிலும் பிள்ளைகள் அறிவிற் சிறந்து விளங்கினால், அது பெற்றோருக்கு மட்டுமேயன்றி உலகில் வாழும் அனைவருக்கும் அக மகிழ்ச்சி தருவதாகும்",,,
74,8,time_season,time_season:year,,,1,அன்புஈனும் ஆர்வம் உடைமை அதுஈனும் / நண்பு என்னும் நாடாச் சிறப்பு.,Love yields aspiration and thence Friendship springs up in excellence,Love begets desire: and that (desire) begets the immeasureable excellence of friendship,அன்பு பிறரிடம் விருப்பம் உடையவராக வாழும் தன்மையைத் தரும்: அஃது எல்லாரிடத்தும் நட்பு என்றுசொல்லப்படும் அளவற்ற சிறப்பைத் தரும்,"அன்பு பிறரிடம் பற்றுள்ளம் கொள்ளச் செய்யும் அந்த உள்ளம், நட்பு எனும் பெருஞ்சிறப்பை உருவாக்கும்",,,
75,8,direction_earth,direction_earth:earth,,,1,அன்புற்று அமர்ந்த வழக்கென்ப வையகத்து / இன்புற்றார் எய்தும் சிறப்பு.,The crowning joy of home life flows From peaceful psychic love always,These are the fruits of tranquil life of love,"உலகத்தில் இன்பம் உற்று வாழ்கின்றவர் அடையும் சிறப்பு, அன்பு உடையவராகிப் பொருந்தி வாழும் வாழ்கையின் பயன் என்று கூறுவர்","உலகில் இன்புற்று வாழ்கின்றவர்க்கு வாய்க்கும் சிறப்பு, அவர் அன்புள்ளம் கொண்டவராக விளங்குவதன் பயனே என்று கூறலாம்",,,
77,8,sun,"sun:sun,solar",,,1,என்பி லதனை வெயில்போலக் காயுமே / அன்பி லதனை அறம்.,Justice burns the loveless form Like solar blaze the boneless worm,"Virtue will burn up the soul which is without love, even as the sun burns up the creature which is without bone, ie worms",எலும்பு இல்லாத உடம்போடு வாழும் புழுவை வெயில் காய்ந்து வருத்துவது போல் அன்பு இல்லாத உயிரை அறம் வருத்தும்.,"அறம் எதுவென அறிந்தும் அதனைக் கடைப்பிடிக்காதவரை, அவரது மனச்சாட்சியே வாட்டி வதைக்கும் அது வெயிலின் வெம்மை புழுவை வாட்டுவதுபோல இருக்கும்",,,
83,9,time_season,time_season:day,,time_season:நாள்,1,வருவிருந்து வைகலும் ஓம்புவான் வாழ்க்கை / பருவந்து பாழ்படுதல் இன்று.,Who tends his guests day in and out His life in want never wears out,The domestic life of the man that daily entertains the guests who come to him shall not be laid waste by poverty,"தன்னை நோக்கி வரும் விருந்தினரை நாள் தோறும் போற்றுகின்றவனுடைய வாழ்க்கை, துன்பத்தால் வருந்திக் கெட்டுப் போவதில்லை.","விருந்தினரை நாள்தோறும் வரவேற்று மகிழ்பவரின் வாழ்க்கை, அதன் காரணமாகத் துன்பமுற்றுக் கெட்டொழிவதில்லை",,,
86,9,sky_stars,sky_stars:heaven,,,1,செல்விருந்து ஓம்பி வருவிருந்து பார்த்திருப்பான் / நல்வருந்து வானத் தவர்க்கு.,Who tends a guest and looks for next Is a welcome guest in heaven's feast,"He who, having entertained the guests that have come, looks out for others who may yet come, will be a welcome guest to the inhabitants of heaven","வந்த விருந்தினரைப் போற்றி, இனிவரும் விருந்தினரை எதிர் பார்த்திருப்பவன், வானுலகத்தில் உள்ள தேவர்க்கும் நல்ல விருந்தினனாவான்","வந்த விருந்தினரை உபசரித்து அவர்களை வழியனுப்பி வைக்கும்போதே, மேலும் வரக்கூடிய விருந்தினரை ஆவலுடன் எதிர்நோக்கி நிற்பவனை, புகழ்வானில் இருப்போர் நல்ல விருந்தினன் என்று வரவேற்றுப் போற்றுவர்",,,
88,9,time_season,time_season:day,,,1,பரிந்தோம்பிப் பற்றற்றேம் என்பர் விருந்தோம்பி / வேள்வி தலைப்படா தார்.,"Who loathe guest-service one day cry: \""We toil and store; but life is dry\""","Those who have taken no part in the benevolence of hospitality shall (at length lament) saying, ""we have laboured and laid up wealth and are now without support.""",விருந்தினரை ஓம்பி அந்த வேள்வியில் ஈடுபடாதவர் பொருள்களை வருந்திக்காத்துப் (பின்பு இழந்து) பற்றுக்கொடு இழந்தோமே என்று இரங்குவர்,"செல்வத்தைச் சேர்த்துவைத்து அதனை இழக்கும்போது, விருந்தோம்பல் எனும் வேள்விக்கு அது பயன்படுத்தப்படாமற் போயிற்றே என வருந்துவார்கள்",,,
