rank,sim,volume,section_id,section_title,stanza_no,text,source_url,label,notes
28,0.958,5,T23,025. காணாப் பத்து,2,வல்லி ஒருபால் வானவர்தம் மகளாண் டொருபால் வரமயில்மேல் / எல்லின் இலங்கு நெட்டிலைவேல் ஏந்தி வரும்என் இறையவனே / சொல்லி அடங்காத் துயர்இயற்றும் துகள்சேர் சன்னப் பெருவேரைக் / கல்லி எறிந்து நின்உருவைக் கண்கள் ஆரக் கண்டிலனே.,https://www.thiruarutpa.org/thirumurai/v/T23/tm/kaanaap_paththu,M,silver-unverified; generic devotion (light/grace)
29,0.958,6,T315,119. ஜோதியுள் ஜோதி,22,எள்ளலில் வான்முதல் மண்ணும் - அமு / தெல்லாம் இதிலோர் இறையள வென்னும் / தெள்ளமு தாம்இது பாரீர் -திருச் / சிற்றம் பலத்தே திருநட ஜோதி. ஜோதி,https://www.thiruarutpa.org/thirumurai/v/T315/tm/joothiyul_joothi,M,silver-unverified; generic devotion (light/grace)
30,0.958,6,T366,101. உய்வகை கூறல்,12,அருள்வி ளங்கிய திருச்சிற்றம் பலத்திலே அழியாப் / பொருள்வி ளங்குதல் காண்மினோ காண்மினோ புவியீர் / மருள்உ ளங்கொளும் வாதனை தவிர்ந்தருள் வலத்தால் / தெருள்வி ளங்குவீர் ஞானசன் மார்க்கமே தெளிமின்.,https://www.thiruarutpa.org/thirumurai/v/T366/tm/uyvakai_kuural,M,silver-unverified; generic devotion (light/grace)
31,0.957,2,T201,093. திருப்புகழ்ச்சி,3,அருள்பழுத் தோங்கும் கற்பகத் தருவே / அருண்மருந் தொளிர்குணக் குன்றே / அருள்எனும் அமுதந் தரும்ஒரு கடலே / அருட்கிர ணங்கொளும் சுடரே / அருள்ஒளி வீசும் அரும்பெறன் மணியே / அருட்சுவை கனிந்தசெம் பாகே / அருள்மணம் வீசும் ஒருதனி மலரே / அருண்மய மாம்பர சிவமே.,https://www.thiruarutpa.org/thirumurai/v/T201/tm/thiruppukazssi,M,silver-unverified; generic devotion (light/grace)
32,0.957,6,T277,047. பேரானந்தப் பெருநிலை,9,வான்வளர் திருச்சிற் றம்பலத் தோங்கும் / மாபெருங் கருணைஎம் பதியே / ஊன்வளர் உயிர்கட் குயிரதாய் எல்லா / உலகமும் நிறைந்தபே ரொளியே / மான்முதன் மூர்த்தி மானிலைக் கப்பால் / வயங்கும்ஓர் வெளிநடு மணியே / பான்மையுற் றுளத்தே இனித்திட எனக்கே / பழுத்தபே ரானந்தப் பழமே.,https://www.thiruarutpa.org/thirumurai/v/T277/tm/peeraananthap_perun-ilai,M,silver-unverified; generic devotion (light/grace)
33,0.957,2,T122,081. தரிசனப் பதிகம்,1,திருவார் பொன்னம் பலநடுவே தெள்ளார் அமுதத் திரள்அனைய / உருவார் அறிவா னந்தநடம் உடையார் அடியார்க் குவகைநிலை / தருவார் அவர்தம் திருமுகத்தே ததும்பும் இளவெண் ணகைகண்டேன் / இருவா தனைஅற் றந்தோநான் இன்னும் ஒருகால் காண்பேனோ.,https://www.thiruarutpa.org/thirumurai/v/T122/tm/tharisanap_pathikam,M,silver-unverified; generic devotion (light/grace)
34,0.957,1,T127,007. வடிவுடை மாணிக்க மாலை,2,கடலமு தேசெங் கரும்பே அருட்கற்ப கக்கனியே / உடல்உயி ரேஉயிர்க் குள்உணர் வேஉணர் வுள்ஒளியே / அடல்விடை யார்ஒற்றி யார்இடங் கொண்ட அருமருந்தே / மடலவிழ் ஞான மலரே வடிவுடை மாணிக்கமே.,https://www.thiruarutpa.org/thirumurai/v/T127/tm/vativutai_maanikka_maalai,M,silver-unverified; generic devotion (light/grace)
35,0.957,1,T156,001. திருவடிப் புகழ்ச்சி,24,வஞ்சமறு நெஞ்சினிடை யெஞ்சலற விஞ்சுதிறன் மஞ்சுற விளங்கும்பதம் / வந்தனைசெய் புந்தியவர் தந்துயர் தவிர்ந்திடவுண் மந்தணந விற்றும்பதம் / மாறிலொரு மாறனுள மீறின்மகிழ் வீறியிட மாறிநட மாடும்பதம் / மறக்கருணை யுந்தனி யறக்கருணை யுந்தந்துவழ்விக்குமொண்மைப்பதம்,https://www.thiruarutpa.org/thirumurai/v/T156/tm/thiruvatip_pukazssi,M,silver-unverified; generic devotion (light/grace)
36,0.957,5,T12,014. பொறுக்காப் பத்து,5,வல்இருள் பவம்தீர் மருந்தெனும் நினது / மலர்அடி மனம்உற வழுத்தாப் / புல்லர்தம் இடம்இப் பொய்யனேன் புகுதல் / பொறுக்கிலன் பொறுக்கிலன் கண்டாய் / ஒல்லையின் எனைமீட் டுன்அடி யவர்பால் / உற்றுவாழ்ந் திடச்செயின் உய்வேன் / சல்லமற் றவர்கட் கருள்தரும் பொருளே / தணிகைவாழ் சரவண பவனே.,https://www.thiruarutpa.org/thirumurai/v/T12/tm/porukkaap_paththu,M,silver-unverified; generic devotion (light/grace)
37,0.957,4,T225,002. அருட்பிரகாச மாலை,92,தஞ்சமுறும் உயிர்க்குணர்வாய் இன்பமுமாய் நிறைந்த / தம்பெருமை தாமறியாத் தன்மைவாய் ஒருநாள் / வஞ்சகனேன் புன்றலையில் வைத்திடவுஞ் சிவந்து / வருந்தியசே வடிபின்னும் வருந்தநடத் தருளி / எஞ்சிலா இரவினிடை யானிருக்கும் இடஞ்சேர்ந் / தெழிற்கதவந் திறப்பித்தங் கெனைஅழைத்தொன் றளித்தாய் / விஞ்சுபரா னந்தநடம் வியன்பொதுவிற் புரியும் / மேலவநின் அருட்பெருமை விளம்பலெவன் வியந்தே.,https://www.thiruarutpa.org/thirumurai/v/T225/tm/arutpirakaasa_maalai,M,silver-unverified; generic devotion (light/grace)
38,0.957,4,T225,002. அருட்பிரகாச மாலை,56,அருள்விளங்கும் உள்ளகத்தே அதுஅதுவாய் விளங்கும் / அணிமலர்ச்சே வடிவருத்தம் அடையநடந் தருளிப் / பொருள்விளங்கா நடுஇரவில் நானுறையும் இடத்தே / போந்துதெருக் காப்பவிழ்க்கப் புரிந்தெனைஅங் கழைத்துத் / தெருள்விளங்கும் ஒருபொருள்என் செங்கைதனில் அளித்தாய் / சிவபெருமான் பெருங்கருணைத் திறத்தினைஎன் என்பேன் / மருள்விளங்கி உணர்ச்சியுறத் திருமணிமன் றிடத்தே / மன்னுயிர்க் கின்பருள வயங்குநடத் தரசே.,https://www.thiruarutpa.org/thirumurai/v/T225/tm/arutpirakaasa_maalai,M,silver-unverified; generic devotion (light/grace)
39,0.957,5,T43,045. திருவருட் பேற்று விழைவு,8,இன்பப் பெருக்கே அருட்கடலே இறையே அழியா இரும்பொருளே / அன்பர்க் கருளும் பெருங்கருணை அரசே உணர்வால் ஆம்பயனே / வன்பர்க் கரிதாம் பரஞ்சோதி வடிவேல் மணியே அணியேஎன் / துன்பத் திடரைப் பொடியாக்கிச் சுகந்தந் தருளத் துணியாயே.,https://www.thiruarutpa.org/thirumurai/v/T43/tm/thiruvarut_peerru_vizaivu,M,silver-unverified; generic devotion (light/grace)
40,0.957,2,T204,099. சிவ சிதம்பர சங்கீர்த்தனம்,4,அருள்அ ளித்துமெய் யன்பர் தம்மைஉள் / ளங்கை நெல்லிபோல் ஆக்கு கின்றதும் / பொருள்அ ளித்துநான் மறையின் அந்தமே / புகலு கின்றதோர் புகழ்அ ளிப்பதும் / வெருள்அ ளித்திடா விமல ஞானவான் / வெளியி லேவெளி விரவி நிற்பதாம் / தெருள்அ ளிப்பதும் இருள்கெ டுப்பதும் / சிவசி தம்பரம் சிவசி தம்பரம்.,https://www.thiruarutpa.org/thirumurai/v/T204/tm/siva_sithampara_sangkiirththanam,M,silver-unverified; generic devotion (light/grace)
41,0.957,5,T177,001. சித்தி விநாயகர் பதிகம்,9,மருள்உறு மனமும் கொடியவெங் குணமும் மதித்தறி யாததுன் மதியும் / இருள்உறு நிலையும் நீங்கிநின் அடியை எந்தநாள் அடைகுவன் எளியேன் / அருள்உறும் ஒளியாய் அவ்வொளிக் குள்ளே அமர்ந்தசிற் பரஒளி நிறைவே / வெருள்உறு சமயத் தறியொணாச் சித்தி விநாயக விக்கினேச் சுரனே.,https://www.thiruarutpa.org/thirumurai/v/T177/tm/siththi_vin-aayakar_pathikam,M,silver-unverified; generic devotion (light/grace)
42,0.957,6,T292,037. அருள்விளக்க மாலை,29,வாதுறும்இந் தியகரண பரங்கள்முதல் நான்கும் / வகுத்திடுநந் நான்கும்அகம் புறமேல்கீழ் நடுப்பால் / ஓதுறும்மற் றெல்லாந்தன் மயமாகக் கலந்தே / ஓங்கவற்றின் அப்புறமும் ஒளிர்கின்ற ஒளியே / சூதுறுமிந் தியகரண லோகாண்டம் அனைத்தும் / சுடர்பரப்பி விளங்குகின்ற சுயஞ்சோதிச் சுடரே / போதுறுவார் பலர்நின்று போற்றநடம் பொதுவில் / புரியும்நடத் தரசேஎன் புகலும்அணிந் தருளே.,https://www.thiruarutpa.org/thirumurai/v/T292/tm/arulvilakka_maalai,M,silver-unverified; generic devotion (light/grace)
43,0.957,6,T277,047. பேரானந்தப் பெருநிலை,5,உரைவளர் திருச்சிற் றம்பலத் தோங்கும் / ஒள்ளிய தெள்ளிய ஒளியே / வரைவளர் மருந்தே மவுனமந் திரமே / மந்திரத் தாற்பெற்ற மணியே / நிரைதரு சுத்த நிலைக்குமேல் நிலையில் / நிறைந்தர சாள்கின்ற நிதியே / பரையுறும் உளத்தே இனித்திட எனக்கே / பழுத்தபே ரானந்தப் பழமே.,https://www.thiruarutpa.org/thirumurai/v/T277/tm/peeraananthap_perun-ilai,M,silver-unverified; generic devotion (light/grace)
44,0.957,1,T127,007. வடிவுடை மாணிக்க மாலை,5,பொருளே அடியர் புகலிட மேஒற்றிப் பூரணன்தண் / அருளேஎம் ஆருயிர்க் காந்துணை யேவிண் ணவர்புகழும் / தெருளேமெய்ஞ் ஞானத் தெளிவே மறைமுடிச் செம்பொருளே / மருளேத நீக்கும் ஒளியே வடிவுடை மாணிக்கமே.,https://www.thiruarutpa.org/thirumurai/v/T127/tm/vativutai_maanikka_maalai,M,silver-unverified; generic devotion (light/grace)
45,0.957,2,T80,042. நாள் அவத்து அலைசல்,4,கருங்கணம் சூழக் கசியும்இவ் வுடலம் கருதும்இக் கணமிருந் ததுதான் / வருங்கணம் ஏதாய் முடியுமோ ஐயோ வஞ்சனேன் என்செய வல்லேன் / பெருங்கணம் சூழ வடவனத் தாடும் பித்தனே உத்தம தவத்தோர் / மருங்கண வுறநின் றரகர எனுஞ்சொல் வான்புகும் ஒற்றியூர் வாழ்வே.,https://www.thiruarutpa.org/thirumurai/v/T80/tm/n-aal_avaththu_alaisal,M,silver-unverified; generic devotion (light/grace)
